German,English,Gender,Box,Passes,Fails
Hand,Hand,F,1,2,0
Auge,Eye,N,1,5,1
Finger,Finger,M,1,5,1
Haar,Hair,N,1,5,1
Bein,Leg,N,0,8,5
Lippe,Lip,F,1,2,0
Mund,Mouth,M,1,5,1
Kopf,Head,M,1,5,2
Blut,Blood,N,1,5,1
Arm,Arm,M,1,7,3
Fuß,Foot,M,1,2,0
Nase,Nose,F,1,2,0
Knie,Knee,N,1,9,3
Krankheit,Disease,F,1,6,2
Zunge,Tongue,F,1,6,2
Gehirn,Brain,N,0,5,3
Bart,Beard,M,0,7,3
Knochen,Bone,M,1,13,7
Hals,Neck,M,0,23,14
Herz,Heart,N,0,11,7
Schweiß,Sweat,M,1,9,3
Rücken,Back,M,1,19,8
Körper,Body,M,1,24,14
Zahn,Tooth,M,1,9,3
Zeh,Toe,M,1,13,5
Ohr,Ear,N,1,18,9
Schulter,Shoulder,F,0,8,4
Gesicht,Face,N,0,21,11
Stimme,Voice,F,0,12,6
Haut,Skin,F,0,17,14
