German,English,Gender,Box,Passes,Fails
Schnee,Snow,M,1,5,1
Regen,Rain,M,1,5,1
Sonne,Sun,F,1,5,1
Mond,Moon,M,1,7,3
Wolke,Cloud,F,1,11,4
Meer,Sea,N,0,0,0
Ozean,Ocean,M,0,0,0
Berg,Mountain,M,0,0,0
Erde,Earth,F,0,0,0
Wald,Forest,M,0,0,0
Himmel,Sky,M,0,0,0
See,Lake,M,0,0,0
Blatt,Leaf,N,0,0,0
Sand,Sand,M,0,0,0
Strand,Beach,M,0,0,0
Feuer,Fire,N,0,0,0
Eis,Ice,N,0,0,0
Insel,Island,F,0,0,0
Hügel,Hill,M,0,0,0
Luft,Air,F,1,2,0
Blume,Flower,F,0,3,1
Baum,Tree,M,0,3,1
Boden,Soil,M,1,2,0
Wind,Wind,M,1,2,0
Welle,Wave,F,0,3,1
Gras,Grass,N,0,4,2
Stern,Star,M,0,3,1
Fluss,River,M,0,3,1
Pflanze,Plant,F,0,4,2
Tal,Valley,N,0,6,4
Welt,World,F,0,4,2
