German,English,Gender,Box,Passes,Fails
Mutter,Mother,F,0,0,0
Kind,Child,N,0,0,0
Erwachsene,Adult,M,0,0,0
Tante,Aunt,F,0,0,0
Freundin,Friend(f),F,0,0,0
Mitbewohnerin,Roommate(f),F,0,0,0
Herr,Mr,M,0,0,0
Junge,Boy,M,1,2,0
Freund,Friend(m),M,1,2,0
Bruder,Brother,M,1,2,0
Elternteil,Parent,N,0,1,3
Person,Person,F,1,2,0
Frau(ms),Ms,F,0,4,2
Baby,Baby,N,1,2,0
Opa,Grandpa,M,1,2,0
Frau(w),Wife,F,1,2,0
Tochter,Daughter,F,1,2,0
Sohn,Son,M,1,2,0
Oma,Grandma,F,1,2,0
Vater,Father,M,1,2,0
Mensch,Human,M,1,2,0
Partner,Partner(m),M,1,2,0
Onkel,Uncle,M,1,2,0
Familie,Family,F,1,2,0
Mitbewohner,Roommate(m),M,1,2,0
Mädchen,Girl,N,1,5,1
Nachbar,Neighbor,M,0,4,2
Partnerin,Partner(f),F,0,3,1
Frau,Women,F,0,3,1
Mann(h),Husband,M,0,3,1
Mann,Man,M,1,2,0
Schwester,Sister,F,1,2,0
