German,English,Gender,Box,Passes,Fails
Sehr,Very,None,1,2,0
Wo,Where,None,1,2,0
Wie,How,None,1,5,1
Circa,Approximately,None,1,2,0
Jetzt,Now,None,1,2,0
Warum,Why,None,1,2,0
Wirklich,Really,None,1,5,1
Hier,Here,None,1,5,1
Was,What,None,2,4,0
Dort,There,None,2,10,2
Links,Left|To The Left,,0,0,0
Rechts,Right|To The Right,,0,0,0
Welche,Which,,0,0,0
Nie,Never,,0,0,0
Wann,When,,0,0,0
Immer,Always,,0,0,0
Oft,Often,,0,0,0
Manchmal,Sometimes,,0,0,0
Einfach,Simply|Simple,,0,0,0
Zusammen,Together,,0,0,0
Nur,Only,,0,0,0
