German,English,Gender,Box,Passes,Fails
Null,0,F,0,0,0
Eins,1,F,0,0,0
Zwei,2,F,0,0,0
Drei,3,F,0,0,0
Vier,4,F,0,0,0
Fünf,5,F,0,0,0
Sechs,6,F,0,0,0
Sieben,7,F,0,0,0
Acht,8,F,0,0,0
Neun,9,F,0,0,0
Zehn,10,F,0,0,0
Elf,11,F,0,0,0
Zwölf,12,F,0,0,0
Dreizehn,13,F,0,0,0
Vierzehn,14,F,0,0,0
Fünfzehn,15,F,0,0,0
Sechzehn,16,F,0,0,0
Siebzehn,17,F,0,0,0
Achtzehn,18,F,0,0,0
Neunzehn,19,F,0,0,0
Zwanzig,20,F,0,0,0
Einundzwanzig,21,F,0,0,0
Zweiundzwanzig,22,F,0,0,0
Dreiundzwanzig,23,F,0,0,0
Vierundzwanzig,24,F,0,0,0
Fünfundzwanzig,25,F,0,0,0
Sechsundzwanzig,26,F,0,0,0
Siebenundzwanzig,27,F,0,0,0
Achtundzwanzig,28,F,0,0,0
Neunundzwanzig,29,F,0,0,0
Dreißig,30,F,0,0,0
Einunddreißig,31,F,0,0,0
Zweiunddreißig,32,F,0,0,0
Dreiunddreißig,33,F,0,0,0
Vierunddreißig,34,F,0,0,0
Fünfunddreißig,35,F,0,0,0
Sechsunddreißig,36,F,0,0,0
Siebenunddreißig,37,F,0,0,0
Achtunddreißig,38,F,0,0,0
Neununddreißig,39,F,0,0,0
Vierzig,40,F,0,0,0
Einundvierzig,41,F,0,0,0
Zweiundvierzig,42,F,0,0,0
Dreiundvierzig,43,F,0,0,0
Vierundvierzig,44,F,0,0,0
Fünfundvierzig,45,F,0,0,0
Sechsundvierzig,46,F,0,0,0
Siebenundvierzig,47,F,0,0,0
Achtundvierzig,48,F,0,0,0
Neunundvierzig,49,F,0,0,0
Fünfzig,50,F,0,0,0
Einundfünfzig,51,F,0,0,0
Zweiundfünfzig,52,F,0,0,0
Dreiundfünfzig,53,F,0,0,0
Vierundfünfzig,54,F,0,0,0
Fünfundfünfzig,55,F,0,0,0
Sechsundfünfzig,56,F,0,0,0
Siebenundfünfzig,57,F,0,0,0
Achtundfünfzig,58,F,0,0,0
Neunundfünfzig,59,F,0,0,0
Sechzig,60,F,0,0,0
Einundsechzig,61,F,0,0,0
Zweiundsechzig,62,F,0,0,0
Dreiundsechzig,63,F,0,0,0
Vierundsechzig,64,F,0,0,0
Fünfundsechzig,65,F,0,0,0
Sechsundsechzig,66,F,0,0,0
Siebenundsechzig,67,F,0,0,0
Achtundsechzig,68,F,0,0,0
Neunundsechzig,69,F,0,0,0
Siebzig,70,F,0,0,0
Einundsiebzig,71,F,0,0,0
Zweiundsiebzig,72,F,0,0,0
Dreiundsiebzig,73,F,0,0,0
Vierundsiebzig,74,F,0,0,0
Fünfundsiebzig,75,F,0,0,0
Sechsundsiebzig,76,F,0,0,0
Siebenundsiebzig,77,F,0,0,0
Achtundsiebzig,78,F,0,0,0
Neunundsiebzig,79,F,0,0,0
Achtzig,80,F,0,0,0
Einundachtzig,81,F,0,0,0
Zweiundachtzig,82,F,0,0,0
Dreiundachtzig,83,F,0,0,0
Vierundachtzig,84,F,0,0,0
Fünfundachtzig,85,F,0,0,0
Sechsundachtzig,86,F,0,0,0
Siebenundachtzig,87,F,0,0,0
Achtundachtzig,88,F,0,0,0
Neunundachtzig,89,F,0,0,0
Neunzig,90,F,0,0,0
Einundneunzig,91,F,0,0,0
Zweiundneunzig,92,F,0,0,0
Dreiundneunzig,93,F,0,0,0
Vierundneunzig,94,F,0,0,0
Fünfundneunzig,95,F,0,0,0
Sechsundneunzig,96,F,0,0,0
Siebenundneunzig,97,F,0,0,0
Achtundneunzig,98,F,0,0,0
Neunundneunzig,99,F,0,0,0
Hundert,100,F,0,0,0
Einhundertundein,101,F,0,0,0
Einhundertundzwei,102,F,0,0,0
Einhundertunddrei,103,F,0,0,0
Einhundertundvier,104,F,0,0,0
Einhundertundfünf,105,F,0,0,0
Einhundertundsechs,106,F,0,0,0
Einhundertundsieben,107,F,0,0,0
Einhundertundacht,108,F,0,0,0
Einhundertundneun,109,F,0,0,0
Einhundertundzehn,110,F,0,0,0
Einhundertundelf,111,F,0,0,0
Einhundertundzwölf,112,F,0,0,0
Einhundertunddreizehn,113,F,0,0,0
Einhundertundvierzehn,114,F,0,0,0
Eintausend,1000,F,0,0,0
Erst,1st,F,0,0,0
Zweite,2nd,F,0,0,0
Dritte,3rd,F,0,0,0
Vierte,4th,F,0,0,0
Fünfte,5th,F,0,0,0
Sechste,6th,F,0,0,0
Siebte,7th,F,0,0,0
Achte,8th,F,0,0,0
Neunte,9th,F,0,0,0
Zehnte,10th,F,0,0,0
