Wort, English, Gender, Box, Passes, Fails
Wasser,Water,N,0,0,0
Brot,Bread,N,0,0,0
Döner,Doner,M,0,0,0
Pizza,Pizza,F,0,0,0
Salz,Salt,N,0,0,0
Tomaten,Tomato,F,0,0,0
Wein,Wine,M,0,0,0
Schnitzel,Schnitzel,N,0,0,0
Fleisch,Meat,N,0,0,0
Wasserflasche,Water bottle,F,0,0,0
Milch,Milk,F,0,0,0
Obstsalat,Fruit salad,M,0,0,0
Kaffee,Coffee,M,0,0,0
Sandwich,Sandwich,N,0,0,0
Bier,Beer,N,0,0,0
Tee,Tea,M,0,0,0
Wurst,Sausage,F,0,0,0
Ei,Egg,N,0,0,0
Salat,Salad,M,0,0,0
Käse,Cheese,M,0,0,0
Zucker,Sugar,M,0,0,0
Essen,Food,N,0,0,0
Rotwein,Red wine,M,0,0,0
Suppe,Soup,F,0,0,0
Mineralwasser,Mineral water,N,0,0,0
