Wort, English, Gender, Box, Passes, Fails
Null,Zero,F,0,0,0
Eins,One,F,0,0,0
Zwei,Two,F,0,0,0
Drei,Three,F,0,0,0
Vier,Four,F,0,0,0
Fünf,Five,F,0,0,0
Sechs,Six,F,0,0,0
Seiben,Seven,F,0,0,0
Acht,Eight,F,0,0,0
Neun,Nine,F,0,0,0
Zehn,Ten,F,0,0,0
Elf,Eleven,F,0,0,0
Zwölf,Twelve,F,0,0,0
Dreizehn,Thirteen,F,0,0,0
Vierzehn,Fourteen,F,0,0,0
Fünfzehn,Fifteen,F,0,0,0
Sechzehn,Sixteen,F,0,0,0
Seibzehn,Seventeen,F,0,0,0
Achtzehn,Eighteen,F,0,0,0
Neunzehn,Nineteen,F,0,0,0
Zwanzig,Twenty,F,0,0,0
Dreißig,Thirty,F,0,0,0
Fünfunddreißig,Thirty five,F,0,0,0
Fünfundzwanzig,Twenty five,F,0,0,0
